disease_pair,correct_node,negative_samples,disease_1,disease_2,options_combined,text,disease_1_id,disease_2_id
"('autoimmune hepatitis', 'oropharynx cancer')",HLA-DQB1,"TMEM71, LOXL1, BTBD9, EYA2",autoimmune hepatitis,oropharynx cancer," EYA2,  LOXL1,  BTBD9, TMEM71, HLA-DQB1","Out of the given list, which Gene is associated with autoimmune hepatitis and oropharynx cancer. Given list is:  EYA2,  LOXL1,  BTBD9, TMEM71, HLA-DQB1",DOID:2048,DOID:8557
"('central nervous system cancer', 'estrogen-receptor negative breast cancer')",TERT,"PHACTR1, DTNB, BABAM1, ABO",central nervous system cancer,estrogen-receptor negative breast cancer," BABAM1,  ABO, TERT, PHACTR1,  DTNB","Out of the given list, which Gene is associated with central nervous system cancer and estrogen-receptor negative breast cancer. Given list is:  BABAM1,  ABO, TERT, PHACTR1,  DTNB",DOID:3620,DOID:0060076
"('myelodysplastic syndrome', ""Takayasu's arteritis"")",HLA-B,"BTN3A1, CACNA1A, CACNA2D1, AKAP6",myelodysplastic syndrome,Takayasu's arteritis,"BTN3A1,  AKAP6,  CACNA2D1, HLA-B,  CACNA1A","Out of the given list, which Gene is associated with myelodysplastic syndrome and Takayasu's arteritis. Given list is: BTN3A1,  AKAP6,  CACNA2D1, HLA-B,  CACNA1A",DOID:0050908,DOID:2508
"('inflammatory bowel disease', 'ankylosing spondylitis')",IL23R,"HNF1B, HOXD3, TYR, TRAF3IP2",inflammatory bowel disease,ankylosing spondylitis," HOXD3, HNF1B,  TYR, IL23R,  TRAF3IP2","Out of the given list, which Gene is associated with inflammatory bowel disease and ankylosing spondylitis. Given list is:  HOXD3, HNF1B,  TYR, IL23R,  TRAF3IP2",DOID:0050589,DOID:7147
"('central nervous system cancer', 'myeloproliferative neoplasm')",TERT,"HLA-DQB1, NOD2, SFRP4, SAMM50",central nervous system cancer,myeloproliferative neoplasm,"TERT,  NOD2, HLA-DQB1,  SAMM50,  SFRP4","Out of the given list, which Gene is associated with central nervous system cancer and myeloproliferative neoplasm. Given list is: TERT,  NOD2, HLA-DQB1,  SAMM50,  SFRP4",DOID:3620,DOID:2226
"('periodontitis', 'primary angle-closure glaucoma')",EPDR1,"IL23R, PRNP, STN1, TYR",periodontitis,primary angle-closure glaucoma,"EPDR1,  TYR, IL23R,  STN1,  PRNP","Out of the given list, which Gene is associated with periodontitis and primary angle-closure glaucoma. Given list is: EPDR1,  TYR, IL23R,  STN1,  PRNP",DOID:824,DOID:1405
"('cervix carcinoma', 'collagenous colitis')",HLA-DQA1,"FAM227B, HLA-B, PNPLA3, CDKAL1",cervix carcinoma,collagenous colitis,"FAM227B,  HLA-B, HLA-DQA1,  CDKAL1,  PNPLA3","Out of the given list, which Gene is associated with cervix carcinoma and collagenous colitis. Given list is: FAM227B,  HLA-B, HLA-DQA1,  CDKAL1,  PNPLA3",DOID:2893,DOID:0060183
"('lung carcinoma', 'triple-receptor negative breast cancer')",TERT,"SLC2A9, HLA-DQA1, WNT10A, MYBPC3",lung carcinoma,triple-receptor negative breast cancer,"TERT, SLC2A9,  MYBPC3,  HLA-DQA1,  WNT10A","Out of the given list, which Gene is associated with lung carcinoma and triple-receptor negative breast cancer. Given list is: TERT, SLC2A9,  MYBPC3,  HLA-DQA1,  WNT10A",DOID:3905,DOID:0060081
"('psoriasis', 'allergic rhinitis')",HLA-B,"FADS1, ATP2B1, TERT, STAT4",psoriasis,allergic rhinitis," ATP2B1, HLA-B,  STAT4,  TERT, FADS1","Out of the given list, which Gene is associated with psoriasis and allergic rhinitis. Given list is:  ATP2B1, HLA-B,  STAT4,  TERT, FADS1",DOID:8893,DOID:4481
"('estrogen-receptor negative breast cancer', 'myeloproliferative neoplasm')",TERT,"GNE, HLA-DQB2, BRCA2, STAT3",estrogen-receptor negative breast cancer,myeloproliferative neoplasm,"TERT,  HLA-DQB2,  BRCA2, GNE,  STAT3","Out of the given list, which Gene is associated with estrogen-receptor negative breast cancer and myeloproliferative neoplasm. Given list is: TERT,  HLA-DQB2,  BRCA2, GNE,  STAT3",DOID:0060076,DOID:2226
