,disease_pair,correct_node,negative_samples,disease_1,disease_2,options_combined,text,disease_1_id,disease_2_id
0,"('psoriasis', ""Takayasu's arteritis"")",HLA-B,"SHTN1, DTNB, BTBD9, SLC14A2",psoriasis,Takayasu's arteritis,"SHTN1, HLA-B,  SLC14A2,  BTBD9,  DTNB","Out of the given list, which Gene is associated with psoriasis and Takayasu's arteritis. Given list is: SHTN1, HLA-B,  SLC14A2,  BTBD9,  DTNB",DOID:8893,DOID:2508
1,"('psoriasis', 'myelodysplastic syndrome')",HLA-B,"GCKR, PKNOX2, NOD2, CHEK2",psoriasis,myelodysplastic syndrome," NOD2,  CHEK2, HLA-B, GCKR,  PKNOX2","Out of the given list, which Gene is associated with psoriasis and myelodysplastic syndrome. Given list is:  NOD2,  CHEK2, HLA-B, GCKR,  PKNOX2",DOID:8893,DOID:0050908
2,"('psoriasis', 'herpes zoster')",HLA-B,"KITLG, PLA2G6, SCN1A, MIF",psoriasis,herpes zoster," MIF, HLA-B,  PLA2G6,  SCN1A, KITLG","Out of the given list, which Gene is associated with psoriasis and herpes zoster. Given list is:  MIF, HLA-B,  PLA2G6,  SCN1A, KITLG",DOID:8893,DOID:8536
3,"('psoriasis', 'allergic rhinitis')",HLA-B,"FADS1, ATP2B1, TERT, STAT4",psoriasis,allergic rhinitis," ATP2B1, HLA-B,  STAT4,  TERT, FADS1","Out of the given list, which Gene is associated with psoriasis and allergic rhinitis. Given list is:  ATP2B1, HLA-B,  STAT4,  TERT, FADS1",DOID:8893,DOID:4481
4,"('psoriasis', 'diffuse large B-cell lymphoma')",HLA-B,"XBP1, PTPRD, BRCA2, DMRT1",psoriasis,diffuse large B-cell lymphoma," PTPRD, XBP1,  BRCA2,  DMRT1, HLA-B","Out of the given list, which Gene is associated with psoriasis and diffuse large B-cell lymphoma. Given list is:  PTPRD, XBP1,  BRCA2,  DMRT1, HLA-B",DOID:8893,DOID:0050745
5,"('psoriasis', 'psoriatic arthritis')",HLA-B,"TNRC18, GRAMD1B, SFRP4, IGF2BP2",psoriasis,psoriatic arthritis," IGF2BP2,  GRAMD1B, TNRC18,  SFRP4, HLA-B","Out of the given list, which Gene is associated with psoriasis and psoriatic arthritis. Given list is:  IGF2BP2,  GRAMD1B, TNRC18,  SFRP4, HLA-B",DOID:8893,DOID:9008
6,"('membranous glomerulonephritis', 'autoimmune hepatitis')",HLA-DQA1,"IL2RA, BTC, RORA, RBFOX1",membranous glomerulonephritis,autoimmune hepatitis," RBFOX1,  RORA, IL2RA,  BTC, HLA-DQA1","Out of the given list, which Gene is associated with membranous glomerulonephritis and autoimmune hepatitis. Given list is:  RBFOX1,  RORA, IL2RA,  BTC, HLA-DQA1",DOID:10976,DOID:2048
7,"('membranous glomerulonephritis', 'immunoglobulin alpha deficiency')",HLA-DQA1,"TERT, ADH1B, IL2RA, TM6SF2",membranous glomerulonephritis,immunoglobulin alpha deficiency,"HLA-DQA1,  ADH1B,  TM6SF2, TERT,  IL2RA","Out of the given list, which Gene is associated with membranous glomerulonephritis and immunoglobulin alpha deficiency. Given list is: HLA-DQA1,  ADH1B,  TM6SF2, TERT,  IL2RA",DOID:10976,DOID:0060025
8,"('membranous glomerulonephritis', 'collagenous colitis')",HLA-DQA1,"ATXN2, RAD51B, STAT4, GNE",membranous glomerulonephritis,collagenous colitis,"HLA-DQA1,  STAT4, ATXN2,  GNE,  RAD51B","Out of the given list, which Gene is associated with membranous glomerulonephritis and collagenous colitis. Given list is: HLA-DQA1,  STAT4, ATXN2,  GNE,  RAD51B",DOID:10976,DOID:0060183
9,"('membranous glomerulonephritis', 'cutaneous lupus erythematosus')",HLA-DQA1,"EPDR1, ZFHX3, CRTC1, HLA-DQA1",membranous glomerulonephritis,cutaneous lupus erythematosus," ZFHX3,  HLA-DQA1, EPDR1,  CRTC1, HLA-DQA1","Out of the given list, which Gene is associated with membranous glomerulonephritis and cutaneous lupus erythematosus. Given list is:  ZFHX3,  HLA-DQA1, EPDR1,  CRTC1, HLA-DQA1",DOID:10976,DOID:0050169
10,"('membranous glomerulonephritis', 'cervix carcinoma')",HLA-DQA1,"HLA-DQA1, PSCA, KALRN, HLA-DRB5",membranous glomerulonephritis,cervix carcinoma," PSCA, HLA-DQA1,  KALRN, HLA-DQA1,  HLA-DRB5","Out of the given list, which Gene is associated with membranous glomerulonephritis and cervix carcinoma. Given list is:  PSCA, HLA-DQA1,  KALRN, HLA-DQA1,  HLA-DRB5",DOID:10976,DOID:2893
11,"('periodontitis', 'primary angle-closure glaucoma')",EPDR1,"IL23R, PRNP, STN1, TYR",periodontitis,primary angle-closure glaucoma,"EPDR1,  TYR, IL23R,  STN1,  PRNP","Out of the given list, which Gene is associated with periodontitis and primary angle-closure glaucoma. Given list is: EPDR1,  TYR, IL23R,  STN1,  PRNP",DOID:824,DOID:1405
12,"(""Hodgkin's lymphoma"", ""Hodgkin's lymphoma, nodular sclerosis"")",GATA3,"SHTN1, XBP1, ERAP1, FTO",Hodgkin's lymphoma,"Hodgkin's lymphoma, nodular sclerosis","SHTN1,  ERAP1, GATA3,  XBP1,  FTO","Out of the given list, which Gene is associated with Hodgkin's lymphoma and Hodgkin's lymphoma, nodular sclerosis. Given list is: SHTN1,  ERAP1, GATA3,  XBP1,  FTO",DOID:8567,DOID:8838
13,"('limited scleroderma', 'allergic rhinitis')",TLR1,"WNT4, HLA-DPA1, DTNB, PSCA",limited scleroderma,allergic rhinitis,"TLR1, WNT4,  HLA-DPA1,  PSCA,  DTNB","Out of the given list, which Gene is associated with limited scleroderma and allergic rhinitis. Given list is: TLR1, WNT4,  HLA-DPA1,  PSCA,  DTNB",DOID:1577,DOID:4481
14,"('malaria', 'duodenal ulcer')",ABO,"HLA-DPA1, TP53, ADGRV1, GNE",malaria,duodenal ulcer," TP53, ABO, HLA-DPA1,  ADGRV1,  GNE","Out of the given list, which Gene is associated with malaria and duodenal ulcer. Given list is:  TP53, ABO, HLA-DPA1,  ADGRV1,  GNE",DOID:12365,DOID:1724
15,"('malaria', 'pancreatic carcinoma')",ABO,"TERT, JAK2, TNRC6B, HLA-DPA1",malaria,pancreatic carcinoma,"ABO,  HLA-DPA1,  TNRC6B,  JAK2, TERT","Out of the given list, which Gene is associated with malaria and pancreatic carcinoma. Given list is: ABO,  HLA-DPA1,  TNRC6B,  JAK2, TERT",DOID:12365,DOID:4905
16,"('focal epilepsy', 'epilepsy')",SCN1A,"DTNB, CPS1, ABCG2, LRMDA",focal epilepsy,epilepsy,"SCN1A,  ABCG2, DTNB,  LRMDA,  CPS1","Out of the given list, which Gene is associated with focal epilepsy and epilepsy. Given list is: SCN1A,  ABCG2, DTNB,  LRMDA,  CPS1",DOID:2234,DOID:1826
17,"('hypertrophic cardiomyopathy', 'dilated cardiomyopathy')",MYH7,"MST1, BRCA2, ZFPM2, HLA-B",hypertrophic cardiomyopathy,dilated cardiomyopathy," ZFPM2,  HLA-B,  BRCA2, MST1, MYH7","Out of the given list, which Gene is associated with hypertrophic cardiomyopathy and dilated cardiomyopathy. Given list is:  ZFPM2,  HLA-B,  BRCA2, MST1, MYH7",DOID:11984,DOID:12930
18,"('inflammatory bowel disease', 'ankylosing spondylitis')",IL23R,"HNF1B, HOXD3, TYR, TRAF3IP2",inflammatory bowel disease,ankylosing spondylitis," HOXD3, HNF1B,  TYR, IL23R,  TRAF3IP2","Out of the given list, which Gene is associated with inflammatory bowel disease and ankylosing spondylitis. Given list is:  HOXD3, HNF1B,  TYR, IL23R,  TRAF3IP2",DOID:0050589,DOID:7147
19,"('inflammatory bowel disease', 'ulcerative colitis')",IL23R,"TNFSF15, IL10, GATA3, HOXD3",inflammatory bowel disease,ulcerative colitis," GATA3,  IL10,  HOXD3, IL23R, TNFSF15","Out of the given list, which Gene is associated with inflammatory bowel disease and ulcerative colitis. Given list is:  GATA3,  IL10,  HOXD3, IL23R, TNFSF15",DOID:0050589,DOID:8577
20,"('inflammatory bowel disease', ""Crohn's disease"")",IL23R,"RORA, TNRC6B, ARMS2, MORC4",inflammatory bowel disease,Crohn's disease," TNRC6B,  ARMS2, RORA,  MORC4, IL23R","Out of the given list, which Gene is associated with inflammatory bowel disease and Crohn's disease. Given list is:  TNRC6B,  ARMS2, RORA,  MORC4, IL23R",DOID:0050589,DOID:8778
21,"('interstitial lung disease', 'triple-receptor negative breast cancer')",TERT,"PTK2B, FER, TERT, PCDH15",interstitial lung disease,triple-receptor negative breast cancer," TERT,  FER, TERT,  PCDH15, PTK2B","Out of the given list, which Gene is associated with interstitial lung disease and triple-receptor negative breast cancer. Given list is:  TERT,  FER, TERT,  PCDH15, PTK2B",DOID:3082,DOID:0060081
22,"('interstitial lung disease', 'idiopathic pulmonary fibrosis')",TERT,"ERAP1, RBFOX1, ATXN2, NANOS1",interstitial lung disease,idiopathic pulmonary fibrosis," ATXN2, ERAP1,  RBFOX1,  NANOS1, TERT","Out of the given list, which Gene is associated with interstitial lung disease and idiopathic pulmonary fibrosis. Given list is:  ATXN2, ERAP1,  RBFOX1,  NANOS1, TERT",DOID:3082,DOID:0050156
